meta_country,policy_health,policy_ehealth,policy_his,policy_telehealth,funding_public,funding_private,funding_donor,funding_publicprivate,policy_multilingual,sites_multilingual,training_preservice,training_inservice,population_1000s,lifeexpectancy_years,GNI_percentgdp,healthspend_percentgdp,physician_per10000,ICTdevindex_rank,nurse_per10000,mobilephone_percent,hospitalbed_per10000,internetusers_percent,legal_ehealth,legal_safety,legal_privacyanyformat,legal_privacydigital,sharing_national,sharing_international,sharing_research,owndata_access,owndata_correction,owndata_deletion,owndata_sharingcontrol,legal_registration,legal_idmanagement,teleradiology,teledermatology,telepathology,telepsychiatry,remotemonitoring,elearning_students_medicine,elearning_students_dentistry,elearning_students_publichealth,elearning_students_nursing,elearning_students_pharmacy,elearning_students_biomedical,elearning_prof_medical,elearning_prof_dentistry,elearning_prof_publichealth,elearning_prof_nursing,elearning_prof_parmacy,elearning_prof_biomedical,ehr_national,ehr_legislation,ehr_primary,ehr_secondary,ehr_tertiary,ehr_laboratory,ehr_pathology,ehr_pharmacy,ehr_pacs,ehr_vaccinationalerts,ehr_billing,ehr_supplychain,ehr_hr,meta_region,sm_policy,sm_policyhealth,sm_org_healthpromotion,sm_org_appointment,sm_org_feedback,sm_org_announcements,sm_org_emergency,sm_ind_learn,sm_ind_decide,sm_ind_feedback,sm_ind_campaign,sm_ind_forum,policy_bigdata_health,policy_bigdata_private,junk_country,mhealth_tollfree,mhealth_callcentre,mhealth_appointments,mhealth_telehealth,mhealth_disaster,mhealth_adherence,mhealth_community,mhealth_infoaccess,mhealth_records,mhealth_mlearning,mhealth_dss,mhealth_monitoring,mhealth_survey,mhealth_surveillance,junk_footer
Burkina Faso,No 75  N A,No 58  N A,Yes 66  2010,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63  50 75 ,No 42  Zero,No 28  N A,No 48 ,No 74  N A,No 77  N A,16 935,59,1 560,6.4,0.05,154,0.57,60.61,4,3.7,No 31 ,No 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,No 76 ,No 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,No 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,No 72 ,No 59 ,Yes 79 ,No 56 ,Yes 62 ,No 62 ,No 59 ,No 17  N A,No 8  N A Burkina,Faso,       ,       ,Local Pilot,       ,       ,       ,       ,       ,Local Pilot,International Informal,Local Pilot,       ,       ,Local Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Bangladesh,Yes 75  2012,Yes 58  2015,Yes 66  2011,No 22  N A,Yes 77  25 50 ,Yes 40  25 50 ,Yes 63  25 50 ,Yes 42   25 ,N A 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,156 595,71,2 810,3.7,0.36,135,0.22,   ,3,6.3,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,39,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Intl  Reg  Nat  Intm Pilot  Established,National  Intermediate Pilot,National  Intermediate Pilot,National  Intermediate    ,International Pilot,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,Yes 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,Yes 58 ,Yes 69  WHO South East Asia,Region,Yes 18  2015,No 5 ,Yes 78 ,24,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Bangladesh,       ,Reg  Nat  Intm  Loc Established,Intermediate  Local Pilot,Reg  Nat  Intm  Loc Established,National  Intermediate  Local Established,Reg  Nat  Intm  Loc Established,Reg  Nat  Intm  Loc Established,Reg  Nat  Intm  Loc Established,National    ,Reg  Nat  Intm  Loc Pilot  Established,Local Established,National  Intermediate  Local Established,Reg  Nat  Intm  Loc Established,Reg  Nat  Intm  Loc Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Bulgaria,Yes 75  1999,Yes 58  2014,No 66  N A,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   25 ,No 42  Zero,N A 28  N A,N A 48 ,Yes 74  25 50 ,Yes 77  25 50 ,7 223,75,15 200,7.6,3.87,46,4.78,148.13,66,55.1,No 31 ,No 46 ,Yes 78 ,Yes 54 ,Yes 34 ,22,No 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,No 65 ,Local Informal,       ,Local Informal,       ,Local Informal,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,58,No 69  WHO European,Region,    18  N A,5,78,24,56,72,59,79,56,62,62,59,No 17  N A,No 8  N A,Bulgaria,Local Informal,Local Informal,Local Informal,Local Informal,National Established,Local Pilot,National Pilot,Intl  Reg  Nat  Intm Established,Local Informal,Local Informal,       ,       ,Local Informal,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Bahrain,Yes 75     ,Yes 58     ,Yes 66     ,No 22  N A,Yes 77   75 ,No 40     ,No 63  Zero,    42  Zero,Yes 28  2011,48,Yes 74   25 ,Yes 77   25 ,1 332,77,36 140,4.9,0.92,39,2.37,161.17,18,88,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,34,22,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,76,65,National Established,National Pilot,National Pilot,National Informal,Local Established,Yes 58 ,No 39 ,No 50 ,Yes 47 ,No 38 ,No 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes    ,   ,No N A,No N A,No N A,No 35 ,No 18 ,No 33 ,No 26 ,No 10 ,58,58,    69  WHO Eastern Mediterranean,Region,Yes 18  2014,No 5 ,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,59,17,8,Bahrain,National Established,National Established,Intermediate Informal,       ,       ,       ,National Informal,Intermediate Established,       ,Intermediate Established,       ,       ,National Informal,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Bosnia and Herzegovina,No 75  N A,No 58  N A,No 66  N A,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,3 829,77,9 820,9.6,1.93,67,5.6,87.57,34,65.4,No 31 ,No 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local Established,       ,       ,       ,       ,Yes 58 ,No 39 ,Yes 50 ,No 47 ,No 38 ,No 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes    ,Yes,Yes 25 50 ,No N A,No N A,No 35 ,No 18 ,No 33 ,Yes 26 ,No 10 ,58,No 58 ,No 69  WHO European,Region,No 18  N A,5,78,24,56,72,59,Yes 79 ,56,Yes 62 ,62,59,No 17  N A,No 8  N A Bosnia and,Herzegovina,       ,       ,Local Informal,       ,       ,       ,Local Pilot,       ,Local Pilot,       ,       ,Local Pilot,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Belarus,Yes 75  1993,No 58  N A,No 66  N A,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   25 ,No 42  Zero,    28  N A,Yes 48 ,Yes 74   75 ,Yes 77   75 ,9 357,72,16 940,6.1,3.93,41,10.64,   ,111,46.9,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,65,Intermediate Informal,       ,       ,       ,       ,Yes 58 ,No 39 ,Yes 50 ,No 47 ,No 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,Yes 34 ,Yes 2005,No,Yes 25 50 ,Yes 25 50 ,Yes 25 50 ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,No 69  WHO European,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,Yes 79 ,Yes 56 ,Yes 62 ,No 62 ,No 59 ,No 17  N A,No 8  N A,Belarus,Intermediate Informal,Intermediate Informal,       ,       ,       ,       ,       ,Local    ,       ,National    ,       ,Intermediate Informal,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Bhutan,Yes 75  2010,Yes 58  2014,Yes 66  2010,No 22  N A,Yes 77  25 50 ,No 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,No 48 ,Yes 74  50 75 ,No 77  N A,754,68,7 210,3.6,0.26,118,0.98,75.61,18,25.4,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,No 76 ,No 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,Yes 69  WHO South East Asia,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,Yes 72 ,Yes 59 ,79,No 56 ,Yes 62 ,62,59,No 17  N A,No 8  N A,Bhutan,National Established,National Established,       ,       ,National Established,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Botswana,Yes 75  2012,No 58  N A,Yes 66  2003,No 22  N A,77,40,63,42,28,48,74,77,2 021,64,15 500,5.4,0.4,108,3.35,153.79,18,11.5,No 31 ,Yes 46 ,No 78 ,Yes 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,National Established,National Established,National Pilot,Local Established,Local Pilot,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,No 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,No 34 ,Yes 2004,No,No N A,Yes  75 ,Yes  75 ,Yes 35 ,Yes 18 ,Yes 33 ,No 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,No 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Botswana,Intermediate Established,National Informal,National Established,Intermediate Informal,National Established,Regional Established,National Established,Intermediate Established,National Established,Local Informal,National Established,Intermediate Informal,Regional Pilot,Regional Informal LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Central African Republic,No 75  N A,No 58  N A,No 66  N A,No 22  N A,No 77  Zero,No 40  Zero,No 63  Zero,No 42  Zero,No 28  N A,No 48 ,No 74  N A,No 77  N A,4 616,51,600,3.9,0.05,156,0.26,25.26,10,3,No 31 ,No 46 ,78,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,76,65,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,Yes 69  WHO African,Region,    18  N A,5,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A Central African,Republic,       ,       ,       ,       ,National Pilot,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Canada,Yes 75  1970,Yes 58  2000,No 66  N A,No 22  N A,Yes 77   75 ,Yes 40   25 ,63,42,N A 28  N A,Yes 48 ,Yes 74  50 75 ,Yes 77   25 ,35 182,82,42 610,10.9,2.07,20,9.29,80.05,32,86.8,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,No 18 ,No 28 ,Yes 76 ,No 65 ,Intermediate  Local Pilot  Established,Intermediate  Local Established,Intermediate  Local Pilot  Established,Intermediate  Local Pilot  Established,Intermediate  Local Pilot  Established,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,Yes 2001,No,Yes 50 75 ,Yes  75 ,Yes  75 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,Yes 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,Yes 18  2013,No 5 ,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Canada,National  Intermediate  Local Informal  Established,National  Intermediate  Local Informal  Established,Intermediate  Local Informal  Pilot  Established,National  Intermediate  Local Pilot  Established,Local Informal,Intermediate  Local Informal  Pilot  Established,Reg  Nat  Intm  Loc Pilot  Established,National  Local Pilot  Established,Local Established,National  Intermediate  Local Informal  Pilot  Established,National  Local Established,Intermediate  Local Pilot  Established,Intermediate Pilot,National  Local Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Switzerland,Yes 75  1996,Yes 58  2007,No 66  N A,No 22  N A,Yes 77   25 ,Yes 40   25 ,No 63  Zero,Yes 42   25 ,Yes 28  2010,Yes 48 ,Yes 74   25 ,Yes 77   75 ,8 078,83,56 580,11.5,4.05,13,0.32,130.22,52,85.2,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Regional Established,Regional Informal,Local Informal,       ,Local Informal,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,No 42 ,Yes 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,56,No 72 ,59,Yes 79 ,56,Yes 62 ,No 62 ,Yes 59 ,No 17  N A,No 8  N A,Switzerland,Regional Established,Regional Established,       ,Local Informal,Local Informal,       ,National Established,Local Informal,Regional Pilot,Local Informal,Local Informal,Regional Pilot,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
